# Cash Flow data for AAPL.US (quarterly)
# Data retrieved on: 2026-08-05 14:21:53

,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,31914000000.0,26731000000.0,51552000000.0,26486000000.0,24405000000.0,
Repurchase Of Capital Stock,-25105000000.0,-12288000000.0,-24701000000.0,-20132000000.0,-21075000000.0,
Repayment Of Debt,-232000000.0,-5751000000.0,-8074000000.0,-1185000000.0,-1770000000.0,
Issuance Of Debt,,,,0.0,,
Capital Expenditure,-2455000000.0,-1971000000.0,-2373000000.0,-3242000000.0,-3462000000.0,
Income Tax Paid Supplemental Data,6158000000.0,16963000000.0,3434000000.0,6037000000.0,5649000000.0,
End Cash Position,39544000000.0,45572000000.0,45317000000.0,35934000000.0,36269000000.0,
Beginning Cash Position,45572000000.0,45317000000.0,35934000000.0,36269000000.0,28162000000.0,
Changes In Cash,-6028000000.0,255000000.0,9383000000.0,-335000000.0,8107000000.0,
Financing Cash Flow,-32640000000.0,-22279000000.0,-39656000000.0,-27476000000.0,-24833000000.0,
Cash Flow From Continuing Financing Activities,-32640000000.0,-22279000000.0,-39656000000.0,-27476000000.0,-24833000000.0,
Net Other Financing Charges,-3268000000.0,-418000000.0,-2960000000.0,-265000000.0,-2524000000.0,
Cash Dividends Paid,-4035000000.0,-3822000000.0,-3921000000.0,-3862000000.0,-3945000000.0,
Common Stock Dividend Paid,-4035000000.0,-3822000000.0,-3921000000.0,-3862000000.0,-3945000000.0,
Net Common Stock Issuance,-25105000000.0,-12288000000.0,-24701000000.0,-20132000000.0,-21075000000.0,
Common Stock Payments,-25105000000.0,-12288000000.0,-24701000000.0,-20132000000.0,-21075000000.0,
Net Issuance Payments Of Debt,-232000000.0,-5751000000.0,-8074000000.0,-3217000000.0,2711000000.0,
Net Short Term Debt Issuance,0.0,-1000000.0,-5910000000.0,-1967000000.0,3903000000.0,
Short Term Debt Payments,0.0,-1000000.0,-5910000000.0,,3903000000.0,3976000000.0
Net Long Term Debt Issuance,-232000000.0,-5750000000.0,-2164000000.0,-1250000000.0,-1192000000.0,
Long Term Debt Payments,-232000000.0,-5750000000.0,-2164000000.0,-1250000000.0,-5673000000.0,
Long Term Debt Issuance,,,,0.0,,
Investing Cash Flow,-7757000000.0,-6168000000.0,-4886000000.0,-2587000000.0,5073000000.0,
Cash Flow From Continuing Investing Activities,-7757000000.0,-6168000000.0,-4886000000.0,-2587000000.0,5073000000.0,
Net Other Investing Changes,-196000000.0,-1430000000.0,-154000000.0,-505000000.0,-340000000.0,
Net Investment Purchase And Sale,-5106000000.0,-2767000000.0,-2359000000.0,1160000000.0,8875000000.0,
Sale Of Investment,11214000000.0,16972000000.0,10334000000.0,7976000000.0,14024000000.0,
Purchase Of Investment,-16320000000.0,-19739000000.0,-12693000000.0,-6816000000.0,-5149000000.0,
Net PPE Purchase And Sale,-2455000000.0,-1971000000.0,-2373000000.0,-3242000000.0,-3462000000.0,
Purchase Of PPE,-2455000000.0,-1971000000.0,-2373000000.0,-3242000000.0,-3462000000.0,
Operating Cash Flow,34369000000.0,28702000000.0,53925000000.0,29728000000.0,27867000000.0,
Cash Flow From Continuing Operating Activities,34369000000.0,28702000000.0,53925000000.0,29728000000.0,27867000000.0,
Change In Working Capital,-1821000000.0,-6654000000.0,5548000000.0,-5707000000.0,-2034000000.0,
Change In Other Current Liabilities,2715000000.0,-5232000000.0,12533000000.0,4085000000.0,418000000.0,
Change In Other Current Assets,-1937000000.0,-4079000000.0,-10250000000.0,-3081000000.0,-1745000000.0,
Change In Payables And Accrued Expense,7094000000.0,-13145000000.0,848000000.0,19381000000.0,-3875000000.0,
Change In Payable,7094000000.0,-13145000000.0,848000000.0,19381000000.0,-3875000000.0,
Change In Account Payable,7094000000.0,-13145000000.0,848000000.0,19381000000.0,-3875000000.0,
Change In Inventory,-4377000000.0,-873000000.0,-211000000.0,177000000.0,365000000.0,
Change In Receivables,-5316000000.0,16675000000.0,2628000000.0,-26269000000.0,2803000000.0,
Changes In Account Receivables,-979000000.0,9448000000.0,-153000000.0,-12367000000.0,-1581000000.0,
Other Non Cash Items,-320000000.0,-1189000000.0,-528000000.0,1659000000.0,469000000.0,
Stock Based Compensation,3401000000.0,3528000000.0,3594000000.0,3183000000.0,3168000000.0,
Depreciation Amortization Depletion,3320000000.0,3439000000.0,3214000000.0,3127000000.0,2830000000.0,
Depreciation And Amortization,3320000000.0,3439000000.0,3214000000.0,3127000000.0,2830000000.0,
Net Income From Continuing Operations,29789000000.0,29578000000.0,42097000000.0,27466000000.0,23434000000.0,
